;X.Intercept.;age_class;samcam;scl.ats1;I.scl.ats1.2.;scl.clay;scl.cn;scl.mc;I.scl.mc.2.;scl.pH;scl.prec1;age_class.samcam;scl.cn.scl.pH;scl.mc.scl.pH;offset.log.area..;df;logLik;AICc;delta;weight;V21
331;1.496534831;+;NA;NA;NA;NA;-0.001386954;NA;NA;NA;NA;NA;NA;NA;NA;8;-235.8711636;488.609797;3.713139545;0.019604186;ancad.bm
82251;2.882829192;+;NA;NA;NA;NA;-0.001386954;NA;NA;NA;NA;NA;NA;NA;+;8;-235.8711636;488.609797;3.713139545;0.019604186;ancad.bm
4419;0.737277241;+;+;NA;NA;NA;NA;0.185819746;NA;0.216265006;NA;NA;NA;0.212735636;NA;12;-158.9463003;343.8067109;0;0.386037662;endo.bm
12611;2.123571602;+;+;NA;NA;NA;NA;0.185819746;NA;0.216265006;NA;NA;NA;0.212735636;+;12;-158.9463003;343.8067109;0;0.386037662;endo.bm
12627;2.125877136;+;+;NA;NA;-0.102629323;NA;0.186061123;NA;0.232982036;NA;NA;NA;0.208713624;+;13;-159.6842855;347.6154846;3.808773697;0.057486382;endo.bm
4435;0.739582775;+;+;NA;NA;-0.102629323;NA;0.186061124;NA;0.232982036;NA;NA;NA;0.208713624;NA;13;-159.6842855;347.6154846;3.808773697;0.057486382;endo.bm
4547;0.625386396;+;+;NA;NA;NA;NA;0.141334336;0.082253118;0.248081741;NA;NA;NA;0.237612822;NA;13;-159.7020186;347.6509508;3.844239895;0.056475956;endo.bm
12739;2.011680757;+;+;NA;NA;NA;NA;0.141334337;0.082253119;0.248081742;NA;NA;NA;0.237612822;+;13;-159.7020186;347.6509508;3.844239895;0.056475956;endo.bm
44191;0.590602489;+;+;NA;NA;NA;NA;0.16541965;NA;0.209581166;NA;NA;NA;0.187957025;NA;12;-150.0145983;325.9670848;0;0.184696894;endad.bm
126111;1.97689685;+;+;NA;NA;NA;NA;0.16541965;NA;0.209581166;NA;NA;NA;0.187957025;+;12;-150.0145983;325.9670848;0;0.184696894;endad.bm
97352;2.189178641;+;+;-0.516615206;NA;NA;NA;NA;NA;NA;0.239593054;+;NA;NA;+;19;-142.0021839;326.9394328;0.97234802;0.113583933;endad.bm
15432;0.802884281;+;+;-0.516615207;NA;NA;NA;NA;NA;NA;0.239593054;+;NA;NA;NA;19;-142.0021839;326.9394328;0.97234802;0.113583933;endad.bm
54432;0.610005509;+;+;NA;NA;NA;NA;0.20791439;NA;0.199950022;NA;+;NA;0.2755509;NA;20;-141.5136254;328.517447;2.550362194;0.051600686;endad.bm
136352;1.99629987;+;+;NA;NA;NA;NA;0.20791439;NA;0.199950022;NA;+;NA;0.2755509;+;20;-141.5136254;328.517447;2.550362194;0.051600686;endad.bm
97511;2.220854302;+;+;-0.555103411;NA;0.230725013;NA;NA;NA;NA;0.25010608;+;NA;NA;+;20;-141.9668571;329.4239103;3.456825482;0.032795894;endad.bm
15591;0.834559941;+;+;-0.555103411;NA;0.230725013;NA;NA;NA;NA;0.25010608;+;NA;NA;NA;20;-141.9668571;329.4239103;3.456825482;0.032795894;endad.bm
126271;1.979288358;+;+;NA;NA;-0.135782164;NA;0.16501487;NA;0.23070437;NA;NA;NA;0.183016374;+;13;-150.5883956;329.4517913;3.484706502;0.032341875;endad.bm
44351;0.592993997;+;+;NA;NA;-0.135782164;NA;0.16501487;NA;0.23070437;NA;NA;NA;0.183016374;NA;13;-150.5883956;329.4517913;3.484706502;0.032341875;endad.bm
6499;0.468853097;+;+;NA;NA;NA;-0.376944463;0.20122225;NA;0.25299577;NA;NA;0.28745441;0.239985917;NA;14;-149.4708637;329.5832367;3.616151966;0.030284623;endad.bm
14691;1.855147459;+;+;NA;NA;NA;-0.376944463;0.20122225;NA;0.25299577;NA;NA;0.287454411;0.239985917;+;14;-149.4708637;329.5832367;3.616151966;0.030284623;endad.bm
4451;0.593965779;+;+;NA;NA;NA;-0.114950431;0.168711631;NA;0.225984351;NA;NA;NA;0.1874785;NA;13;-150.7264985;329.7279969;3.760912149;0.028170068;endad.bm
12643;1.980260141;+;+;NA;NA;NA;-0.114950432;0.168711632;NA;0.225984353;NA;NA;NA;0.1874785;+;13;-150.7264985;329.7279969;3.760912149;0.028170068;endad.bm
12610;1.898375084;NA;+;NA;NA;NA;NA;0.168779916;NA;0.232936595;NA;NA;NA;0.182690168;+;8;-156.4877684;329.8482641;3.881179309;0.026526027;endad.bm
4418;0.512080723;NA;+;NA;NA;NA;NA;0.168779916;NA;0.232936595;NA;NA;NA;0.182690168;NA;8;-156.4877684;329.8482641;3.881179309;0.026526027;endad.bm
515;1.600383008;+;+;NA;NA;NA;NA;NA;NA;NA;0.204759789;NA;NA;NA;NA;10;-210.6653379;442.6721392;0;0.089979459;N.bm
8707;2.986677369;+;+;NA;NA;NA;NA;NA;NA;NA;0.204759789;NA;NA;NA;+;10;-210.6653379;442.6721392;1.14E-13;0.089979459;N.bm
32;1.734846669;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-211.9275618;442.9460327;0.273893494;0.078463587;N.bm
81951;3.12114103;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;9;-211.9275618;442.9460327;0.273893494;0.078463587;N.bm
82032;3.321563247;+;+;NA;-0.18818946;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;10;-210.976156;443.2937753;0.621636139;0.065941194;N.bm
112;1.935268886;+;+;NA;-0.18818946;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-210.976156;443.2937753;0.621636139;0.065941194;N.bm
131;2.19070161;+;NA;-0.188762756;-0.183672596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-212.2337881;443.5584852;0.88634605;0.057766463;N.bm
82051;3.576995972;+;NA;-0.188762756;-0.183672596;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;9;-212.2337881;443.5584852;0.88634605;0.057766463;N.bm
14;2.00409112;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-214.8229393;444.3165373;1.644398139;0.039542749;N.bm
81932;3.390385481;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;7;-214.8229393;444.3165373;1.644398139;0.039542749;N.bm
81972;3.393126537;+;NA;-0.149608069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-213.7995583;444.4665865;1.794447336;0.036684625;N.bm
52;2.006832176;+;NA;-0.149608069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-213.7995583;444.4665865;1.794447336;0.036684625;N.bm
7;1.903379479;+;+;-0.218274109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-211.863232;445.0679274;2.395788179;0.027158425;N.bm
8199;3.289673841;+;+;-0.218274109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;10;-211.863232;445.0679274;2.395788179;0.027158425;N.bm
519;1.756878878;+;+;-0.198470521;NA;NA;NA;NA;NA;NA;0.199359505;NA;NA;NA;NA;11;-210.7953343;445.2103006;2.538161402;0.025292318;N.bm
8711;3.143173239;+;+;-0.198470521;NA;NA;NA;NA;NA;NA;0.199359505;NA;NA;NA;+;11;-210.7953343;445.2103006;2.538161402;0.025292318;N.bm
87151;3.165586383;+;+;NA;-0.137986576;NA;NA;NA;NA;NA;0.156281186;NA;NA;NA;+;11;-210.9699121;445.5594561;2.887316949;0.02124078;N.bm
5231;1.779292023;+;+;NA;-0.137986576;NA;NA;NA;NA;NA;0.156281186;NA;NA;NA;NA;11;-210.9699121;445.5594561;2.887316949;0.02124078;N.bm
84492;3.390801111;+;NA;NA;NA;NA;NA;NA;NA;0.160352474;NA;NA;NA;NA;+;8;-214.596423;446.060316;3.388176774;0.016535226;N.bm
2572;2.00450675;+;NA;NA;NA;NA;NA;NA;NA;0.160352475;NA;NA;NA;NA;NA;8;-214.596423;446.060316;3.388176774;0.016535226;N.bm
259;1.757760156;+;+;NA;NA;NA;NA;NA;NA;0.122735596;NA;NA;NA;NA;NA;10;-212.4782279;446.2979192;3.625779985;0.014683015;N.bm
