season	year	ID	fieldID	field	hole	ACAad	ACAj	ACHad	ACHj	AROad	AROj	ENDad	ENDj	OCYa	OCYj	OLA
autumn	2013	161	11	ND_2011	1	0	0	0	0	0.6977	0	0	0.525	0	0	0
autumn	2013	162	11	ND_2011	2	0.6582	0	0.0688	0	0.1162	0	0	0.2375	0	0	0
autumn	2013	163	11	ND_2011	3	0	0	0	0	0.2679	0	0	0.1481	0	0	0
autumn	2013	164	11	ND_2011	4	0.7712	0	0	0	0	0	0	0.0956	0	0	0
autumn	2013	165	12	RO_2011	1	0	0	0	0	0	0	0	0.1496	0	0	0
autumn	2013	166	12	RO_2011	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	167	12	RO_2011	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	168	12	RO_2011	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	169	16	DO_MaisII	1	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	170	16	DO_MaisII	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	171	16	DO_MaisII	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	172	16	DO_MaisII	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	173	17	PA_Mais	1	1.7751	0	0	0	0.1505	0	0	0.0939	0	0	0
autumn	2013	174	17	PA_Mais	2	2.9652	1.1681	0	0	0	0	0	0	0	0	0
autumn	2013	175	17	PA_Mais	3	8.0436	0	0	0	0	0	0	0.4682	0	0	0
autumn	2013	176	17	PA_Mais	4	1.6176	0	0	0	0	0	0	0.154	0	0	0
autumn	2013	177	18	RO_MaisII	1	0	0	0	0	0	0	0	0.0034	0	0	0
autumn	2013	178	18	RO_MaisII	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	179	18	RO_MaisII	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	180	18	RO_MaisII	4	0	0	0	0	0	0	0	0	0	0	0
