ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	hole	ACA	ACH	ALO	ARO	END	LCA	LRU	LTR	LUM	OCY	OLA	UNK	ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
33	9	Poppenburg	PO_2009	9.780602	52.145969	120	Haplic_Luvisol	LLn	tU	Silphie	C_Sp_int1	3	2009	1	autumn	2012	23.10.2012	1	4	0	6	0	8	0	0	10	0	0	0	3	1.772	0.000	4.297	0.000	1.166	0.000	0.000	7.656	0.000	0.000	0.000	0	6.26	11.87	9.02	16.9	68.6	14.5	10.41	10.65	84.22	11.47	1.60	2006	9.86	10.29	97.45	11.98	0.00	472	50x50	0	3	2	3	2
34	9	Poppenburg	PO_2009	9.780602	52.145969	120	Haplic_Luvisol	LLn	tU	Silphie	C_Sp_int1	3	2009	1	autumn	2012	23.10.2012	2	1	0	7	2	15	0	0	11	0	0	0	4	0.509	0.000	11.429	0.383	2.830	0.000	0.000	12.214	0.000	0.000	0.000	0	6.26	11.87	9.02	16.9	68.6	14.5	10.41	10.65	84.22	11.47	1.60	2006	9.86	10.29	97.45	11.98	0.00	472	50x50	0	3	2	3	2
35	9	Poppenburg	PO_2009	9.780602	52.145969	120	Haplic_Luvisol	LLn	tU	Silphie	C_Sp_int1	3	2009	1	autumn	2012	23.10.2012	3	0	0	11	2	6	0	0	8	0	0	0	0	0.000	0.000	11.726	0.391	0.888	0.000	0.000	9.205	0.000	0.000	0.000	0	6.26	11.87	9.02	16.9	68.6	14.5	10.41	10.65	84.22	11.47	1.60	2006	9.86	10.29	97.45	11.98	0.00	472	50x50	0	3	2	3	2
36	9	Poppenburg	PO_2009	9.780602	52.145969	120	Haplic_Luvisol	LLn	tU	Silphie	C_Sp_int1	3	2009	1	autumn	2012	23.10.2012	4	0	0	3	3	3	0	0	6	0	0	0	0	0.000	0.000	2.440	0.788	0.732	0.000	0.000	5.115	0.000	0.000	0.000	0	6.26	11.87	9.02	16.9	68.6	14.5	10.41	10.65	84.22	11.47	1.60	2006	9.86	10.29	97.45	11.98	0.00	472	50x50	0	3	2	3	2
37	10	Erfurt	EF_2011	10.999336	50.980493	9247	Chernozem	TTn	uuT	Silphie	B_Sp_young	1	2011	1	autumn	2012	16.10.2012	1	0	0	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.323	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0	7.36	15.50	18.34	12.7	58	29.3	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	4	4	2
38	10	Erfurt	EF_2011	10.999336	50.980493	9247	Chernozem	TTn	uuT	Silphie	B_Sp_young	1	2011	1	autumn	2012	16.10.2012	2	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	7.36	15.50	18.34	12.7	58	29.3	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	4	4	2
39	10	Erfurt	EF_2011	10.999336	50.980493	9247	Chernozem	TTn	uuT	Silphie	B_Sp_young	1	2011	1	autumn	2012	16.10.2012	3	0	0	0	0	0	0	0	1	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.356	0.000	0.000	0.000	0	7.36	15.50	18.34	12.7	58	29.3	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	4	4	2
40	10	Erfurt	EF_2011	10.999336	50.980493	9247	Chernozem	TTn	uuT	Silphie	B_Sp_young	1	2011	1	autumn	2012	16.10.2012	4	0	0	0	0	1	0	0	1	0	0	0	0	0.000	0.000	0.000	0.000	0.022	0.000	0.000	5.604	0.000	0.000	0.000	0	7.36	15.50	18.34	12.7	58	29.3	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	4	4	2
41	11	Niederdorla	ND_2011	10.399994	51.136251	9278	Stagnic_Luvisol	SS-LL	tU	Silphie	B_Sp_young	1	2011	1	autumn	2012	08.11.2012	1	0	0	0	0	0	0	0	1	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.438	0.000	0.000	0.000	0	6.77	23.49	8.82	10.1	69.6	20.3	7.11	6.75	89.54	7.86	1.13	1422	7.87	7.45	81.59	6.97	0.00	390	50x50	0	2	4	4	3
42	11	Niederdorla	ND_2011	10.399994	51.136251	9278	Stagnic_Luvisol	SS-LL	tU	Silphie	B_Sp_young	1	2011	1	autumn	2012	08.11.2012	2	0	0	0	2	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.304	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	6.77	23.49	8.82	10.1	69.6	20.3	7.11	6.75	89.54	7.86	1.13	1422	7.87	7.45	81.59	6.97	0.00	390	50x50	0	2	4	4	3
