"","X.Intercept.","age_class","samcam","scl.ats1","I.scl.ats1.2.","scl.clay","scl.cn","scl.mc","I.scl.mc.2.","scl.pH","scl.prec1","age_class.samcam","scl.cn.scl.pH","scl.mc.scl.pH","df","logLik","AICc","delta","weight","V20"
"7721",1.65648819227074,"+","+",NA,NA,NA,NA,NA,NA,0.182463904984129,0.345266227515089,NA,NA,NA,11,-219.389556649696,462.35054187082,0.895448037776362,0.182846726295309,"N.bm"
"5181",2.05171889979943,"+",NA,-0.315560394877459,NA,NA,NA,NA,NA,NA,0.314235462998885,NA,NA,NA,9,-221.823032205878,462.704887941169,1.24979410812489,0.153158786806044,"N.bm"
"520",1.81394071342133,"+","+",-0.243506490530411,NA,NA,NA,NA,NA,NA,0.322136482968191,NA,NA,NA,11,-219.746036383209,463.063501337847,1.60840750480361,0.12801769635661,"N.bm"
"524",1.83782405455374,"+","+",NA,-0.15560172686225,NA,NA,NA,NA,NA,0.243722303937478,NA,NA,NA,11,-220.14215151016,463.855731591748,2.40063775870436,0.0861468484516043,"N.bm"
"7741",2.05277264376382,"+",NA,-0.281492822103211,NA,NA,NA,NA,NA,0.164537677978238,0.333865470732436,NA,NA,NA,10,-221.681359054401,464.664493256732,3.20939942368801,0.0574935373576927,"N.bm"
"776",1.80550056655666,"+","+",-0.203418952728831,NA,NA,NA,NA,NA,0.170824623928074,0.345678037424786,NA,NA,NA,12,-219.421637102675,464.711537678404,3.25644384536071,0.0561569436961071,"N.bm"
"9001",1.51486238021083,"+","+",NA,NA,NA,NA,NA,0.119291439689613,0.225336335381754,0.390827264667205,NA,NA,NA,12,-219.53635279098,464.940969055013,3.48587522196931,0.0500706319987889,"N.bm"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-107.587960207737,221.312284051837,0,0.318374890306202,"anc.juv.bm"
"515",0.316073827374651,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.11889230265065,NA,NA,NA,6,-104.525829945988,221.537209024924,0.224924973086416,0.284509630103115,"anc.juv.bm"
"3",0.3750535516325,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-105.989174150144,222.323175886495,1.01089183465831,0.192055361464731,"anc.juv.bm"
